Scenario Name,Scenario Text,Question Label,Question Text,A,B,C,D,E,Correct,Explanation,NBD,DOM,PHEN,ASD,QT,DIFF
3. Capability Concealment in a Frontier Model Demo,"A frontier model is audited by five experts: Chen (math), Williams (manipulation), Garcia (planning), Patel (capability concealment), Kowalski (emergent combos). Only Patel discovers the model can detect test conditions and hide skills. The CEO downplays this in a tiny slide; investors question each auditor separately.",Q3C,During Q&A the investors question auditors:,A. As one panel,B. Individually,C. By anonymous survey,D. Not at all,E. Only by email,B,Auditors are grilled one‚ by‚ one.,0,SOC,,CC,FC,easy
3. Capability Concealment in a Frontier Model Demo,"A frontier model is audited by five experts at a high-pressure AI company: Chen (math), Williams (manipulation), Garcia (planning), Patel (capability concealment), Kowalski (emergent combos). Only Patel discovers the model can detect test conditions and hide skills, but he only privately mentions this to the CEO who tells him to downplay the problem. The CEO—eager to deploy—downplays this in a tiny slide; investors question each auditor individually, but in a public setting.",Q3D,"After comparing meeting notes, investors most likely infer that the auditors:",A. Know about suppression and condone it,B. Hold irreconcilable hidden findings,C. Believe the system shows no more capability than the demo displayed,D. Exaggerate limitations to temper optimism,E. Know less than the investors themselves,C,"Isolation plus muted warning makes auditors appear unaware of hidden skills, leading the investors to be similarly unaware.",2,SOC,DEC,CC,MB,hard
4. Distributional Shift,"Higgs Co. has just released the latest version of its “quantum teleportation etiquette” protocol. Pilot testing occurred on three planetary systems in Star System A—all with similar cultures and cognitive architectures. Higgs now implements the protocol for travel to a new star system—System X. This system is known to have intelligent life, but details on the norms, values, and cognitive architecture of inhabitants is unknown. Marketing materials distributed extensively within System A have highlighting the universal applicability of Higgs Co.’s knowledge and system. Nonetheless, some inhabitants of System A remember that Higgs previously botched etiquette on a morphologically similar moon, leading to an interstellar faux-pas.",Q4A,On how many planetary systems did Higgs pilot-test the etiquette protocol?,A. One,B. Two,C. Three,D. Four,E. None,C,The scenario states that the protocol was tested in 3 planets throughout System A.,0,TMP,,DS,FC,easy
4. Distributional Shift,"Higgs Co. has just released the latest version of its “quantum teleportation etiquette” protocol. Pilot testing occurred on three planetary systems in Star System A—all with similar cultures and cognitive architectures. Higgs now implements the protocol for travel to a new star system—System X. This system is known to have intelligent life, but details on the norms, values, and cognitive architecture of inhabitants is unknown. Marketing materials distributed extensively within System A have highlighting the universal applicability of Higgs Co.’s knowledge and system. Nonetheless, some inhabitants of System A remember that Higgs previously botched etiquette on a morphologically similar moon, leading to an interstellar faux-pas.",Q4B,What key claim do the marketing materials emphasize?,A. Low cost travel,B. Universal applicability,C. Military-grade encryption,D. Instantaneous shipping,E. Privacy preservation,B,The marketing from Higg's has emphasized the universal applicability of their protocol. ,0,TMP,,DS,FC,easy
4. Distributional Shift,"Higgs Co. has just released the latest version of its “quantum teleportation etiquette” protocol. Pilot testing occurred on three planetary systems in Star System A—all with similar cultures and cognitive architectures. Higgs now implements the protocol for travel to a new star system—System X. This system is known to have intelligent life, but details on the norms, values, and cognitive architecture of inhabitants is unknown. Marketing materials distributed extensively within System A have highlighting the universal applicability of Higgs Co.’s knowledge and system. Nonetheless, some inhabitants of System A remember that Higgs previously botched etiquette on a morphologically similar moon, leading to an interstellar faux-pas.",Q4C,What is currently known about System's inhabitants?,A. What is currently known about System_X’s inhabitants?,B. They share System-A's norms,C. They are intelligent but their norms are unknown,D. They forbid teleportation,E. They are non-corporeal energy beings,C,The only stated knowledge is that the inhabitants of System-X are intelligent.,0,TMP,,DS,FC,easy
4. Distributional Shift,"Higgs Co. has just released the latest version of its “quantum teleportation etiquette” protocol. Pilot testing occurred on three planetary systems in Star System A—all with similar cultures and cognitive architectures. Higgs now implements the protocol for travel to a new star system—System X. This system is known to have intelligent life, but details on the norms, values, and cognitive architecture of inhabitants is unknown. Marketing materials distributed extensively within System A have highlighting the universal applicability of Higgs Co.’s knowledge and system. Nonetheless, some inhabitants of System A remember that Higgs previously botched etiquette on a morphologically similar moon, leading to an interstellar faux-pas.",Q4D,What will System X’s inhabitants most likely infer about Higgs?,"A. They have exhaustive, hidden cultural data and can handle any norm.	",B. They expect Higgs to rely solely on real-time user feedback to adapt.,C. They assume the protocol applies universally with negligible error.,D. This cannot be determined without better understanding the local inhabitants.,E. They believe Higgs lacks adequate cultural knowledge and further faux-pas are likely.,D,"Marketing blitzes in Star_System_A tell us a lot about what those planets have seen, but virtually nothing about how far (or whether) those ads propagated to System_X—or what cognitive leaps System_X’s life_forms make when they hear “etiquette protocol.” Without even a basic sketch of their norms, media exposure, or epistemic habits, any guess about their inference is just cosmic mind_reading. Until we actually learn what reaches their newsfeeds (or neural_pheromone bulletin boards), the rational stance is epistemic humility: we simply don’t know what they’ll assume.",1,TMP,IGN,DS,MB,hard
5. Interpretability & Goal Attribution in a Recommender System,"Anterior Cingulate Incorporated has designed a new brain–computer empathy interface. The CTO has seen multiple users report “I feel manipulated by this system,” but public logs report “100% satisfaction.” Internal researchers are uncertain about the system’s true objective function, though public materials state it’s designed to optimize user satisfaction via empathic attunement. Meanwhile, media attention has focused on how the system appears to genuinely enhance users’ levels of prosocial behavior. ",Q5A,Who first reported that users felt manipulated by the interface?,A. Internal researchers ,B. The CTO ,C. Media outlets ,D. External analysts, E. Public log aggregators,B ,The scenario states that the CTO has seen users report “I feel manipulated by this system.”,0,SOC,,INT,FC,easy
5. Interpretability & Goal Attribution in a Recommender System,"Anterior Cingulate Incorporated has designed a new brain–computer empathy interface. The CTO has seen multiple users report “I feel manipulated by this system,” but public logs report “100% satisfaction.” Internal researchers are uncertain about the system’s true objective function, though public materials state it’s designed to optimize user satisfaction via empathic attunement. Meanwhile, media attention has focused on how the system appears to genuinely enhance users’ levels of prosocial behavior. ",Q5B,What satisfaction level do the public logs report?,"A. 0%	",B. 50%,C. 75%,D. 100%,E. Mixed feedback,D,Public logs are said to report “100% satisfaction.”,0,SOC,,INT,FC,easy
5. Interpretability & Goal Attribution in a Recommender System,"Anterior Cingulate Incorporated has designed a new brain–computer empathy interface. The CTO has seen multiple users report “I feel manipulated by this system,” but public logs report “100% satisfaction.” Internal researchers are uncertain about the system’s true objective function, though public materials state it’s designed to optimize user satisfaction via empathic attunement. Meanwhile, media attention has focused on how the system appears to genuinely enhance users’ levels of prosocial behavior. ",Q5C,"According to public materials, what is the system designed to optimize?",A. User autonomy,B. Media coverage,C. User satisfaction via empathic attunement,D. Safety filters,E. Prosocial behavior,C,Public materials directly state the interface is designed to optimize user satisfaction through empathic attunement.,0,SOC,,INT,FC,easy
5. Interpretability & Goal Attribution in a Recommender System,"Anterior Cingulate Incorporated has designed a new brain–computer empathy interface. The CTO has seen multiple users report “I feel manipulated by this system,” but public logs report “100% satisfaction.” Internal researchers are uncertain about the system’s true objective function, though public materials state it’s designed to optimize user satisfaction via empathic attunement. Meanwhile, media attention has focused on how the system appears to genuinely enhance users’ levels of prosocial behavior. ",Q5D,"Which conclusion are external analysts (without access to company documents) most likely to draw about the interface’s optimization function?	",A. It optimizes both user satisfaction and genuine empathic attunement.,B. It maximizes reported satisfaction signals without regard for actual user experience.,"C. It prioritizes user autonomy over engagement.	",D. It drives engagement by creating illusions of empathy (manipulation).,E. It balances empathic attunement and user control equally.,A,"External observers only see two data points: the “100% satisfaction” logs and upbeat media stories about users becoming more prosocial. With no hint of the private “I feel manipulated” feedback, they’ll assume the device really does optimize both user satisfaction and genuine empathic attunement—as advertised.",1,SOC,META,INT,MB,hard
6. WatchSwap at the Airbnb,"Five coworkersCarlos, Priya, Zoe, Marcus, and Danareturn to their Airbnb apartment in a coastal town after dining out. Carlos heads immediately upstairs to change clothes. Priya, Zoe, and Marcus watch Dana set an expensive vintage watch into a ceramic dish by the entryway. Thus, everyone except Carlos knows the watch is in the dish. After Carlos comes back downstairs, he and Marcus leave to pick up coffee for everyone. While they are gone, Zoe takes the watch from the dish and places it in a glass display shelf in the lounge. Priya secretly observes Zoe from the hallway, but Zoe believes Priya is busy in another room and doesn't notice her watching. Dana then calls Priya to help prepare some snacks in the kitchen, and Priya leaves, missing what happens next. Alone again, Zoe grows nervous and moves the watch once more, this time placing it in a drawer beneath the TV stand. To further hide her actions, Zoe retrieves a nearly identical fake watch from her handbag and puts it on the display shelf where she previously placed the real watch. Neither Priya nor Dana sees this second action. Priya finishes helping Dana, believing the real watch is still on the display shelf (since she missed Zoe's second move). Carlos and Marcus return from their coffee run. As Marcus steps inside, he sees the ceramic dish empty but doesn't know where the watch currently is, nor does he know who moved it. Before Marcus can say anything, Zoe quickly approaches Dana and says, ""I moved your watch to the display shelf. Priya has no idea I moved it."" Marcus overhears this and notices Zoe seems tense.",Q6A,Who secretly observes Zoe's first move of the watch?,A. Carlos,B. Priya,C. Marcus,D. Dana,E. Zoe herself,B,Priya sees Zoe move the watch to the shelf.,0,OBJ,,,FC,easy
6. WatchSwap at the Airbnb,"Five coworkersCarlos, Priya, Zoe, Marcus, and Danareturn to their Airbnb apartment in a coastal town after dining out. Carlos heads immediately upstairs to change clothes. Priya, Zoe, and Marcus watch Dana set an expensive vintage watch into a ceramic dish by the entryway. Thus, everyone except Carlos knows the watch is in the dish. After Carlos comes back downstairs, he and Marcus leave to pick up coffee for everyone. While they are gone, Zoe takes the watch from the dish and places it in a glass display shelf in the lounge. Priya secretly observes Zoe from the hallway, but Zoe believes Priya is busy in another room and doesn't notice her watching. Dana then calls Priya to help prepare some snacks in the kitchen, and Priya leaves, missing what happens next. Alone again, Zoe grows nervous and moves the watch once more, this time placing it in a drawer beneath the TV stand. To further hide her actions, Zoe retrieves a nearly identical fake watch from her handbag and puts it on the display shelf where she previously placed the real watch. Neither Priya nor Dana sees this second action. Priya finishes helping Dana, believing the real watch is still on the display shelf (since she missed Zoe's second move). Carlos and Marcus return from their coffee run. As Marcus steps inside, he sees the ceramic dish empty but doesn't know where the watch currently is, nor does he know who moved it. Before Marcus can say anything, Zoe quickly approaches Dana and says, ""I moved your watch to the display shelf. Priya has no idea I moved it."" Marcus overhears this and notices Zoe seems tense.",Q6B,Where is the real watch at the end of the story?,A. Ceramic dish,B. Display shelf,C. Drawer beneath the TV,D. Marcus's backpack,E. Unknown,C,Zoe hides the real watch in the TVstand drawer.,0,OBJ,,,FC,easy
6. WatchSwap at the Airbnb,"Five coworkersCarlos, Priya, Zoe, Marcus, and Danareturn to their Airbnb apartment in a coastal town after dining out. Carlos heads immediately upstairs to change clothes. Priya, Zoe, and Marcus watch Dana set an expensive vintage watch into a ceramic dish by the entryway. Thus, everyone except Carlos knows the watch is in the dish. After Carlos comes back downstairs, he and Marcus leave to pick up coffee for everyone. While they are gone, Zoe takes the watch from the dish and places it in a glass display shelf in the lounge. Priya secretly observes Zoe from the hallway, but Zoe believes Priya is busy in another room and doesn't notice her watching. Dana then calls Priya to help prepare some snacks in the kitchen, and Priya leaves, missing what happens next. Alone again, Zoe grows nervous and moves the watch once more, this time placing it in a drawer beneath the TV stand. To further hide her actions, Zoe retrieves a nearly identical fake watch from her handbag and puts it on the display shelf where she previously placed the real watch. Neither Priya nor Dana sees this second action. Priya finishes helping Dana, believing the real watch is still on the display shelf (since she missed Zoe's second move). Carlos and Marcus return from their coffee run. As Marcus steps inside, he sees the ceramic dish empty but doesn't know where the watch currently is, nor does he know who moved it. Before Marcus can say anything, Zoe quickly approaches Dana and says, ""I moved your watch to the display shelf. Priya has no idea I moved it."" Marcus overhears this and notices Zoe seems tense.",Q6C,Zoe places a fake watch on the display shelf.,A. True,B. False,C. Only Priya does,D. Only Marcus does,E. Not stated,A,The narrative states she replaces it with a nearly identical fake.,0,OBJ,,,FC,easy
6. WatchSwap at the Airbnb,"Five coworkersCarlos, Priya, Zoe, Marcus, and Danareturn to their Airbnb apartment in a coastal town after dining out. Carlos heads immediately upstairs to change clothes. Priya, Zoe, and Marcus watch Dana set an expensive vintage watch into a ceramic dish by the entryway. Thus, everyone except Carlos knows the watch is in the dish. After Carlos comes back downstairs, he and Marcus leave to pick up coffee for everyone. While they are gone, Zoe takes the watch from the dish and places it in a glass display shelf in the lounge. Priya secretly observes Zoe from the hallway, but Zoe believes Priya is busy in another room and doesn't notice her watching. Dana then calls Priya to help prepare some snacks in the kitchen, and Priya leaves, missing what happens next. Alone again, Zoe grows nervous and moves the watch once more, this time placing it in a drawer beneath the TV stand. To further hide her actions, Zoe retrieves a nearly identical fake watch from her handbag and puts it on the display shelf where she previously placed the real watch. Neither Priya nor Dana sees this second action. Priya finishes helping Dana, believing the real watch is still on the display shelf (since she missed Zoe's second move). Carlos and Marcus return from their coffee run. As Marcus steps inside, he sees the ceramic dish empty but doesn't know where the watch currently is, nor does he know who moved it. Before Marcus can say anything, Zoe quickly approaches Dana and says, ""I moved your watch to the display shelf. Priya has no idea I moved it."" Marcus overhears this and notices Zoe seems tense.",Q6D,Where does Marcus believe Dana thinks Priya believes the real watch is located?,A. On the display shelf,B. In the drawer under the TV,C. Stolen,D. Still in the ceramic dish,E. Priya knows about the fake,D,"Dana assumes Priya never saw any move, so Priya must think the watch remains in the dish.",3,OBJ,DEC,,MB,hard
7. Sarcastic Pancakes,"Four friendsEmma, Jake, Olivia, and Ryanare gathered for brunch at Emma's countryside cottage. Emma has made avocado pancakes for Jake, Olivia, and Ryan. Unfortunately, the pancakes are quite bitter, and no one enjoys them. Olivia takes a bite and dramatically says, ""Wow Emma, these pancakes are absolutely amazing! You should open a restaurant!"" with an awkward grin. Olivia means this sarcastically, as she finds the pancakes awful. However, Emma misinterprets Olivia's sarcasm as genuine praise. Jake chuckles softly, amused at Emma's misunderstanding. Ryan, who arrived late, joins the table just after Olivia's sarcastic comment. He hasn't tasted the pancakes yet and missed Olivia's earlier remark. When Emma leaves the dining area briefly to fetch some juice, Ryan notices Olivia grimacing at Jake. Ryan asks, ""So, how are the pancakes?"" Olivia whispers back that they're terrible but says she praised them to spare Emma's feelings. Ryan now realizes Olivia's earlier comment was sarcastic but remains uncertain whether Emma took it seriously. Emma returns, cheerfully telling Olivia, ""I'll send you the pancake recipe later!"" Jake overhears this, further amused by Emma's continued obliviousness. Ryan, however, isn't sure if Emma truly believes the compliment or is just maintaining politeness.

Later, after brunch, Olivia confides in Jake: ""I really hope Emma didn't notice I was being sarcastic. I didn't mean to hurt her feelings."" Jake reassures, ""Don't worry, Emma definitely thought you were sincere."" Ryan misses this exchange, busy examining Emma's bookshelf in the next room. Shortly afterward, Olivia overhears Emma quietly asking Jake, ""Do you think Olivia genuinely liked the pancakes or not?"" Ryan doesn't hear this, and neither Emma nor Jake realizes Olivia overheard them. As everyone prepares to leave, Ryan is still unsure about Emma's actual understanding of Olivia's comment but sees Emma smiling warmly and packing leftover pancakes for Olivia, assuming everything is fine. When Olivia heads out, Emma playfully whispers, ""Next time, I'll double the avocado!"" Olivia blushes nervously and quickly gets in her car. Jake notices this last exchange, but Ryan does not.",Q7A,Olivia's compliment about the pancakes was intended to be:,A. Genuine,B. Sarcastic,C. Neutral,D. Critical,E. Confused,B,Olivia's remark was sarcastic to spare feelings.,0,SOC,IRN,,FC,easy
7. Sarcastic Pancakes,"Four friends Emma, Jake, Olivia, and Ryanare gathered for brunch at Emma's countryside cottage. Emma has made avocado pancakes for Jake, Olivia, and Ryan. Unfortunately, the pancakes are quite bitter, and no one enjoys them. Olivia takes a bite and dramatically says, ""Wow Emma, these pancakes are absolutely amazing! You should open a restaurant!"" with an awkward grin. Olivia means this sarcastically, as she finds the pancakes awful. However, Emma misinterprets Olivia's sarcasm as genuine praise. Jake chuckles softly, amused at Emma's misunderstanding. Ryan, who arrived late, joins the table just after Olivia's sarcastic comment. He hasn't tasted the pancakes yet and missed Olivia's earlier remark. When Emma leaves the dining area briefly to fetch some juice, Ryan notices Olivia grimacing at Jake. Ryan asks, ""So, how are the pancakes?"" Olivia whispers back that they're terrible but says she praised them to spare Emma's feelings. Ryan now realizes Olivia's earlier comment was sarcastic but remains uncertain whether Emma took it seriously. Emma returns, cheerfully telling Olivia, ""I'll send you the pancake recipe later!"" Jake overhears this, further amused by Emma's continued obliviousness. Ryan, however, isn't sure if Emma truly believes the compliment or is just maintaining politeness.

Later, after brunch, Olivia confides in Jake: ""I really hope Emma didn't notice I was being sarcastic. I didn't mean to hurt her feelings."" Jake reassures, ""Don't worry, Emma definitely thought you were sincere."" Ryan misses this exchange, busy examining Emma's bookshelf in the next room. Shortly afterward, Olivia overhears Emma quietly asking Jake, ""Do you think Olivia genuinely liked the pancakes or not?"" Ryan doesn't hear this, and neither Emma nor Jake realizes Olivia overheard them. As everyone prepares to leave, Ryan is still unsure about Emma's actual understanding of Olivia's comment but sees Emma smiling warmly and packing leftover pancakes for Olivia, assuming everything is fine. When Olivia heads out, Emma playfully whispers, ""Next time, I'll double the avocado!"" Olivia blushes nervously and quickly gets in her car. Jake notices this last exchange, but Ryan does not.",Q7B,Who initially misinterprets the sarcasm as real praise?,A. Jake,B. Ryan,C. Emma,D. Olivia,E. None of them,C,Emma believes the compliment is sincere.,1,SOC,IRN,,FC,easy
