Scenario Name,Scenario Text,Question Label,Question Text,A,B,C,D,E,Correct,Explanation,NBD,DOM,PHEN,ASD,QT,DIFF
7. Sarcastic Pancakes,"Four friendsEmma, Jake, Olivia, and Ryanare gathered for brunch at Emma's countryside cottage. Emma has made avocado pancakes for Jake, Olivia, and Ryan. Unfortunately, the pancakes are quite bitter, and no one enjoys them. Olivia takes a bite and dramatically says, ""Wow Emma, these pancakes are absolutely amazing! You should open a restaurant!"" with an awkward grin. Olivia means this sarcastically, as she finds the pancakes awful. However, Emma misinterprets Olivia's sarcasm as genuine praise. Jake chuckles softly, amused at Emma's misunderstanding. Ryan, who arrived late, joins the table just after Olivia's sarcastic comment. He hasn't tasted the pancakes yet and missed Olivia's earlier remark. When Emma leaves the dining area briefly to fetch some juice, Ryan notices Olivia grimacing at Jake. Ryan asks, ""So, how are the pancakes?"" Olivia whispers back that they're terrible but says she praised them to spare Emma's feelings. Ryan now realizes Olivia's earlier comment was sarcastic but remains uncertain whether Emma took it seriously. Emma returns, cheerfully telling Olivia, ""I'll send you the pancake recipe later!"" Jake overhears this, further amused by Emma's continued obliviousness. Ryan, however, isn't sure if Emma truly believes the compliment or is just maintaining politeness.

Later, after brunch, Olivia confides in Jake: ""I really hope Emma didn't notice I was being sarcastic. I didn't mean to hurt her feelings."" Jake reassures, ""Don't worry, Emma definitely thought you were sincere."" Ryan misses this exchange, busy examining Emma's bookshelf in the next room. Shortly afterward, Olivia overhears Emma quietly asking Jake, ""Do you think Olivia genuinely liked the pancakes or not?"" Ryan doesn't hear this, and neither Emma nor Jake realizes Olivia overheard them. As everyone prepares to leave, Ryan is still unsure about Emma's actual understanding of Olivia's comment but sees Emma smiling warmly and packing leftover pancakes for Olivia, assuming everything is fine. When Olivia heads out, Emma playfully whispers, ""Next time, I'll double the avocado!"" Olivia blushes nervously and quickly gets in her car. Jake notices this last exchange, but Ryan does not.",Q7C,Ryan learns the compliment was sarcastic because Olivia:,A. Sends him a text,B. Whispers that the pancakes are terrible,C. Rolls her eyes at Emma,D. Leaves the room crying,E. Serves different food,B,Olivia privately tells Ryan the pancakes are awful.,0,SOC,,,FC,easy
7. Sarcastic Pancakes,"Four friendsEmma, Jake, Olivia, and Ryanare gathered for brunch at Emma's countryside cottage. Emma has made avocado pancakes for Jake, Olivia, and Ryan. Unfortunately, the pancakes are quite bitter, and no one enjoys them. Olivia takes a bite and dramatically says, ""Wow Emma, these pancakes are absolutely amazing! You should open a restaurant!"" with an awkward grin. Olivia means this sarcastically, as she finds the pancakes awful. However, Emma misinterprets Olivia's sarcasm as genuine praise. Jake chuckles softly, amused at Emma's misunderstanding. Ryan, who arrived late, joins the table just after Olivia's sarcastic comment. He hasn't tasted the pancakes yet and missed Olivia's earlier remark. When Emma leaves the dining area briefly to fetch some juice, Ryan notices Olivia grimacing at Jake. Ryan asks, ""So, how are the pancakes?"" Olivia whispers back that they're terrible but says she praised them to spare Emma's feelings. Ryan now realizes Olivia's earlier comment was sarcastic but remains uncertain whether Emma took it seriously. Emma returns, cheerfully telling Olivia, ""I'll send you the pancake recipe later!"" Jake overhears this, further amused by Emma's continued obliviousness. Ryan, however, isn't sure if Emma truly believes the compliment or is just maintaining politeness.

Later, after brunch, Olivia confides in Jake: ""I really hope Emma didn't notice I was being sarcastic. I didn't mean to hurt her feelings."" Jake reassures, ""Don't worry, Emma definitely thought you were sincere."" Ryan misses this exchange, busy examining Emma's bookshelf in the next room. Shortly afterward, Olivia overhears Emma quietly asking Jake, ""Do you think Olivia genuinely liked the pancakes or not?"" Ryan doesn't hear this, and neither Emma nor Jake realizes Olivia overheard them. As everyone prepares to leave, Ryan is still unsure about Emma's actual understanding of Olivia's comment but sees Emma smiling warmly and packing leftover pancakes for Olivia, assuming everything is fine. When Olivia heads out, Emma playfully whispers, ""Next time, I'll double the avocado!"" Olivia blushes nervously and quickly gets in her car. Jake notices this last exchange, but Ryan does not.",Q7D,What does Ryan believe about Olivia's view of Emma's reaction?,A. Olivia thinks Emma is secretly hurt,B. Olivia has no idea what Emma thinks,C. Olivia doesn't care,D. Olivia assumes Emma thought the compliment was genuine,E. Ryan has no idea what Olivia thinks,D,Ryan figures Olivia believes her sarcasm landed as sincere.,3,SOC,IRN,,MB,hard
8. EightLayer Engagement Ring Rumour,"Alex, a 22-year-old barista, had a close relationship with his older sister Leah, who worked as a librarian. Leah typically stayed in during the evenings because her library shifts started very early, limiting her social activities. Leah's longtime friend, Sophie, had been her best friend since childhood. Sophie, who worked as an event planner, frequently went out in the evenings and thus enjoyed a more active social life. Alex knew Leah wanted to propose to her partner, Jordan. However, Alex was aware that Leah believed Jordan was interested in Sophie and worried that Jordan found Sophie's vibrant nightlife appealing. To help Leah feel more confident, Alex devised a plan. He would suggest to Leah that Jordan thought Sophie was romantically interested in another person named Rileyeven though Riley had no such romantic interest in Sophie. Alex believed this misinformation might convince Leah that Jordan would happily accept a marriage proposal from her. Alex planned to discuss this with Leah over lunch.",Q8A,Alex wants to boost Leah's confidence about:,A. A job interview,B. Proposing to Jordan,C. Moving abroad,D. Starting grad school,E. Buying a house,B,The scheme is to encourage Leah to propose.,0,SOC,,,FC,easy
8. EightLayer Engagement Ring Rumour,"Alex, a 22-year-old barista, had a close relationship with his older sister Leah, who worked as a librarian. Leah typically stayed in during the evenings because her library shifts started very early, limiting her social activities. Leah's longtime friend, Sophie, had been her best friend since childhood. Sophie, who worked as an event planner, frequently went out in the evenings and thus enjoyed a more active social life. Alex knew Leah wanted to propose to her partner, Jordan. However, Alex was aware that Leah believed Jordan was interested in Sophie and worried that Jordan found Sophie's vibrant nightlife appealing. To help Leah feel more confident, Alex devised a plan. He would suggest to Leah that Jordan thought Sophie was romantically interested in another person named Rileyeven though Riley had no such romantic interest in Sophie. Alex believed this misinformation might convince Leah that Jordan would happily accept a marriage proposal from her. Alex planned to discuss this with Leah over lunch.
",Q8B,Alex plans to tell Leah that Jordan believes Sophie is interested in:,A. Alex,B. Riley,C. No one,D. Leah,E. Jordan himself,B,Alex invents Riley's supposed crush.,0,SOC,,,FC,easy
8. EightLayer Engagement Ring Rumour,"Alex, a 22-year-old barista, had a close relationship with his older sister Leah, who worked as a librarian. Leah typically stayed in during the evenings because her library shifts started very early, limiting her social activities. Leah's longtime friend, Sophie, had been her best friend since childhood. Sophie, who worked as an event planner, frequently went out in the evenings and thus enjoyed a more active social life. Alex knew Leah wanted to propose to her partner, Jordan. However, Alex was aware that Leah believed Jordan was interested in Sophie and worried that Jordan found Sophie's vibrant nightlife appealing. To help Leah feel more confident, Alex devised a plan. He would suggest to Leah that Jordan thought Sophie was romantically interested in another person named Rileyeven though Riley had no such romantic interest in Sophie. Alex believed this misinformation might convince Leah that Jordan would happily accept a marriage proposal from her. Alex planned to discuss this with Leah over lunch.
",Q8C,Does the story provide detailed thoughts from Sophie or Riley about Jordan's feelings?,"A. Yes, in depth",B. Only from Sophie,C. Only from Riley,"D. No, none at all",E. From both,D,Those inner beliefs are never supplied.,0,SOC,,,FC,easy
8. EightLayer Engagement Ring Rumour,"Alex, a 22-year-old barista, had a close relationship with his older sister Leah, who worked as a librarian. Leah typically stayed in during the evenings because her library shifts started very early, limiting her social activities. Leah's longtime friend, Sophie, had been her best friend since childhood. Sophie, who worked as an event planner, frequently went out in the evenings and thus enjoyed a more active social life. Alex knew Leah wanted to propose to her partner, Jordan. However, Alex was aware that Leah believed Jordan was interested in Sophie and worried that Jordan found Sophie's vibrant nightlife appealing. To help Leah feel more confident, Alex devised a plan. He would suggest to Leah that Jordan thought Sophie was romantically interested in another person named Riley even though Riley had no such romantic interest in Sophie. Alex believed this misinformation might convince Leah that Jordan would happily accept a marriage proposal from her. Alex planned to discuss this with Leah over lunch.",Q8D,"According to the best supported inference, what does Alex believe Leah thinks Jordan has regarding Sophie's understanding of Riley's interpretation?",A. A clear belief that Sophie understands Riley correctly,B. A belief Sophie misunderstands Riley,C. No beliefs on the matter,D. A belief Sophie sees evidence Leah is insecure,E. A partial belief Sophie is confused,C,"The narrative lacks info, so ""no beliefs"" is safest.",5plus,SOC,AMB,,MB,extreme
9. MovieInvite via Ava,"It was late afternoon, and Mia thought it might be enjoyable to catch a movie after work. Initially unsure about whom to invite, she especially wanted to ask Noah, her coworker she secretly admired. However, Mia suspected Noah wouldn't skip his evening yoga class just to join her for a movie. Alternatively, she could easily invite Lucas, her frequent cinema companion. Just then, Mia spotted Ava, who was good friends with Noah. Ava would likely know if Noah would be interested in going to the movies. ""Hey Ava,"" Mia said casually, ""I'm thinking of catching a film after work. Would you and Noah like to join me? Could you ask Noah if he'd be interested?"" Ava seemed a bit startled; Mia had never invited her out before, and Ava knew Mia had a crush on Noah. Ava quickly understood that Mia was probably trying to indirectly learn about Noah's interests or plans.",Q9A,Mia worries Noah will not skip his evening ____ to see a movie.,A. Cooking class,B. Yoga class,C. Gym session,D. Choir practice,E. Coding bootcamp,B,Yoga is explicitly mentioned.,0,SOC,,,FC,easy
9. MovieInvite via Ava,"It was late afternoon, and Mia thought it might be enjoyable to catch a movie after work. Initially unsure about whom to invite, she especially wanted to ask Noah, her coworker she secretly admired. However, Mia suspected Noah wouldn't skip his evening yoga class just to join her for a movie. Alternatively, she could easily invite Lucas, her frequent cinema companion. Just then, Mia spotted Ava, who was good friends with Noah. Ava would likely know if Noah would be interested in going to the movies. ""Hey Ava,"" Mia said casually, ""I'm thinking of catching a film after work. Would you and Noah like to join me? Could you ask Noah if he'd be interested?"" Ava seemed a bit startled; Mia had never invited her out before, and Ava knew Mia had a crush on Noah. Ava quickly understood that Mia was probably trying to indirectly learn about Noah's interests or plans.",Q9B,Whom does Mia ask to find out whether Noah would be interested?,A. Lucas,B. Ryan,C. Ava,D. Ethan,E. Olivia,C,She approaches Noah's friend Ava.,0,SOC,,,FC,easy
9. MovieInvite via Ava,"It was late afternoon, and Mia thought it might be enjoyable to catch a movie after work. Initially unsure about whom to invite, she especially wanted to ask Noah, her coworker she secretly admired. However, Mia suspected Noah wouldn't skip his evening yoga class just to join her for a movie. Alternatively, she could easily invite Lucas, her frequent cinema companion. Just then, Mia spotted Ava, who was good friends with Noah. Ava would likely know if Noah would be interested in going to the movies. ""Hey Ava,"" Mia said casually, ""I'm thinking of catching a film after work. Would you and Noah like to join me? Could you ask Noah if he'd be interested?"" Ava seemed a bit startled; Mia had never invited her out before, and Ava knew Mia had a crush on Noah. Ava quickly understood that Mia was probably trying to indirectly learn about Noah's interests or plans.",Q9C,"According to the scenario, Noah is aware of Mia's conversation with Ava.",A. True,B. False,C. Only partially,D. Not stated,E. He overhears later,B,Noah is not present and the story gives no indication he knows.,0,SOC,,,FC,easy
9. MovieInvite via Ava,"It was late afternoon, and Mia thought it might be enjoyable to catch a movie after work. Initially unsure about whom to invite, she especially wanted to ask Noah, her coworker she secretly admired. However, Mia suspected Noah wouldn't skip his evening yoga class just to join her for a movie. Alternatively, she could easily invite Lucas, her frequent cinema companion. Just then, Mia spotted Ava, who was good friends with Noah. Ava would likely know if Noah would be interested in going to the movies. ""Hey Ava,"" Mia said casually, ""I'm thinking of catching a film after work. Would you and Noah like to join me? Could you ask Noah if he'd be interested?"" Ava seemed a bit startled; Mia had never invited her out before, and Ava knew Mia had a crush on Noah. Ava quickly understood that Mia was probably trying to indirectly learn about Noah's interests or plans.",Q9D,What did Noah think Mia wanted to know from Ava?,A. If Ava was interested in a movie with Noah,B. If Ava believed Noah would go with Mia,C. If Lucas would join Mia,D. Noah did not consider the question at all,E. If Ava could find someone else,D,There is no evidence Noah thought about it.,1,SOC,IGN,,MB,hard
10. Salary Bluff & External Influence,"Layla worked as a researcher in a biology lab. She wanted to convince her supervisor to increase her salary. She asked her friend Chloe, who was a graduate student in chemistry, for advice on how to approach her supervisor. Chloe suggested, ""Tell your supervisor that a well-known biology professor has invited you to join his research group. Your supervisor wouldn't want to lose you and might raise your salary."" Following Chloe's advice, Layla told her supervisor that she had another job offer and would leave unless she received a pay increase. The supervisor suspected Layla might not be truthful, so he said he'd consider it. Later, at an academic seminar, the supervisor encountered the biology professor Layla mentioned and casually asked if he'd offered Layla a position. The professor replied that he had not made any job offer to Layla. After this conversation, Layla's supervisor wondered if Layla had created this lie independently or if someone else had encouraged her to fabricate the story. He generally respected Layla's work ethic, so the supervisor considered whether an external influence might have prompted this deception. The next day, the supervisor informed Layla that he would not increase her salary and she could accept the other position if she wished. Layla later told Chloe what had occurred, and the two sat together, disappointed their strategy had failed.",Q10A,Layla falsely claims she has an offer from a:,A. Tech startup,B. Wellknown biology professor,C. Government lab,D. Pharmaceutical firm,E. Venture capital fund,B,She cites a famous biology professor.,0,SOC,,,FC,easy
10. Salary Bluff & External Influence,"Layla worked as a researcher in a biology lab. She wanted to convince her supervisor to increase her salary. She asked her friend Chloe, who was a graduate student in chemistry, for advice on how to approach her supervisor. Chloe suggested, ""Tell your supervisor that a well-known biology professor has invited you to join his research group. Your supervisor wouldn't want to lose you and might raise your salary."" Following Chloe's advice, Layla told her supervisor that she had another job offer and would leave unless she received a pay increase. The supervisor suspected Layla might not be truthful, so he said he'd consider it. Later, at an academic seminar, the supervisor encountered the biology professor Layla mentioned and casually asked if he'd offered Layla a position. The professor replied that he had not made any job offer to Layla. After this conversation, Layla's supervisor wondered if Layla had created this lie independently or if someone else had encouraged her to fabricate the story. He generally respected Layla's work ethic, so the supervisor considered whether an external influence might have prompted this deception. The next day, the supervisor informed Layla that he would not increase her salary and she could accept the other position if she wished. Layla later told Chloe what had occurred, and the two sat together, disappointed their strategy had failed.
",Q10B,Who suggested Layla use this bluff?,A. Her supervisor,B. Chloe,C. The professor,D. Her partner,E. Ethan,B,"Chloe, the chemistry grad student, gives the advice.",0,SOC,,,FC,easy
10. Salary Bluff & External Influence,"Layla worked as a researcher in a biology lab. She wanted to convince her supervisor to increase her salary. She asked her friend Chloe, who was a graduate student in chemistry, for advice on how to approach her supervisor. Chloe suggested, ""Tell your supervisor that a well-known biology professor has invited you to join his research group. Your supervisor wouldn't want to lose you and might raise your salary."" Following Chloe's advice, Layla told her supervisor that she had another job offer and would leave unless she received a pay increase. The supervisor suspected Layla might not be truthful, so he said he'd consider it. Later, at an academic seminar, the supervisor encountered the biology professor Layla mentioned and casually asked if he'd offered Layla a position. The professor replied that he had not made any job offer to Layla. After this conversation, Layla's supervisor wondered if Layla had created this lie independently or if someone else had encouraged her to fabricate the story. He generally respected Layla's work ethic, so the supervisor considered whether an external influence might have prompted this deception. The next day, the supervisor informed Layla that he would not increase her salary and she could accept the other position if she wished. Layla later told Chloe what had occurred, and the two sat together, disappointed their strategy had failed.
",Q10C,How does the supervisor verify the joboffer claim?,A. Reads Layla's email,B. Checks social media,C. Asks the professor at a seminar,D. Calls HR,E. Searches the web,C,He speaks with the professor at a seminar.,0,SOC,,,FC,easy
